title,author
Goodnight Moon,Margaret Wise Brown
Corduroy,Don Freeman
Curious George,H.A. Ray
Winnie-the-Pooh,A.A. Milne
Fantastic mr. Fox,Roald Dahl
Charlotte's Web,E.B. White
Rainbow Flower,Valentin Kataev
The Cat That Lived a Million Times,Yoko Sano
The Little Prince,Antoine de Saint-Exupery

